color_img,depth_img,uv_img,color_gt,depth_gt
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0000_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0000_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0000_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0180_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0180_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0001_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0001_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0001_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0181_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0181_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0002_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0002_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0002_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0182_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0182_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0003_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0003_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0003_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0183_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0183_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0004_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0004_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0004_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0184_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0184_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0005_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0005_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0005_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0185_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0185_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0006_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0006_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0006_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0186_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0186_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0007_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0007_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0007_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0187_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0187_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0008_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0008_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0008_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0188_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0188_0_00.png
G:/lx/Datasets/thuman_fb/human_fb_train/RENDER/0000/0009_0_00.jpg,G:/lx/Datasets/thuman_fb/human_fb_train/DEPTH/0000/0009_0_00.png,G:/lx/Datasets/thuman_fb/human_fb_train/uv/0000/0009_0_00_dp.0001.png,G:/lx/Datasets/thuman_fb/thuman_fb_gt/RENDER/0000/0189_0_00.jpg,G:/lx/Datasets/thuman_fb/thuman_fb_gt/DEPTH/0000/0189_0_00.png
